Config,Clusters,Iterations,Inertia
modified,2,13,2.79e+11
modified,3,23,2.33e+11
modified,4,19,2.07e+11
modified,5,20,1.90e+11
modified,6,22,1.64e+11
modified,7,42,1.50e+11
modified,8,45,1.33e+11
modified,9,33,1.24e+11
modified,10,22,1.19e+11
modified,11,47,1.13e+11
modified,12,52,1.07e+11
modified,13,62,1.03e+11
modified,14,37,9.43e+10
modified,15,49,9.66e+10
modified,16,27,8.88e+10
modified,17,32,8.61e+10
modified,18,39,8.30e+10
modified,19,40,8.12e+10
modified,20,39,7.95e+10
modified,21,52,7.67e+10
modified,22,43,7.60e+10
modified,23,103,7.41e+10
modified,24,35,7.29e+10
modified,25,49,7.05e+10
modified,26,53,6.87e+10
modified,27,66,6.77e+10
modified,28,55,6.77e+10
modified,29,36,6.65e+10
modified,30,56,6.57e+10
modified,31,33,6.32e+10
modified,32,57,6.18e+10
modified,33,82,6.04e+10
modified,34,51,6.01e+10
modified,35,59,5.90e+10
modified,36,60,6.08e+10
modified,37,36,5.73e+10
modified,38,73,5.67e+10
modified,39,58,5.82e+10
modified,40,51,5.64e+10
modified,41,70,5.41e+10
modified,42,37,5.35e+10
modified,43,78,5.27e+10
modified,44,31,5.43e+10
modified,45,56,5.36e+10
modified,46,58,5.28e+10
modified,47,43,5.43e+10
modified,48,39,5.19e+10
modified,49,49,5.02e+10
